Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
NVDA,NVIDIA CORP,7.6841,8.65,14.6791,-,-,-,-,-,-,-,-,-,-,-,-,7.16,18.81,1.5
TSLA,TESLA INC,2.031,3.6,-,-,-,19.3466,-,-,-,-,-,-,-,-,-,-,-,10.21
AMZN,AMAZON.COM INC,3.9926,4.94,-,-,-,23.6631,-,-,-,-,-,-,-,-,-,-,-,1.79
GOOGL,ALPHABET INC CL A,5.878,7.1,-,-,20.6804,-,-,-,-,-,-,-,-,-,-,-,-,0.49
MSFT,MICROSOFT CORP,5.9913,6.74,11.4453,-,-,-,-,-,-,-,-,-,-,9.64,-,-,-,-
META,META PLATFORMS INC CLASS A,2.4584,3.73,-,-,20.3488,-,-,-,-,-,-,-,-,-,-,-,-,1.05
AAPL,APPLE INC,6.4013,7.21,12.2286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GE,GENERAL ELECTRIC,0.5263,-,-,-,-,-,-,-,-,6.1816,-,-,-,-,18.8,-,-,-
XOM,EXXON MOBIL CORP,0.9679,-,-,-,-,-,-,24.2727,-,-,-,-,-,-,-,-,-,-
AVGO,BROADCOM INC,2.6361,2.97,5.0358,-,-,-,-,-,-,-,-,-,-,-,-,5.55,7.17,0.84
AMD,Advanced Micro Devices Inc,0.6883,2.14,3.4315,-,-,-,-,-,-,-,-,-,-,-,-,7.79,5.22,3.97
MU,MICRON TECHNOLOGY INC,0.7724,2.41,3.851,-,-,-,-,-,-,-,-,-,-,-,-,8.59,6.42,-
RTX,RTX CORP,0.4523,-,-,-,-,-,-,-,-,5.3168,-,-,-,-,16.17,-,-,-
CVX,CHEVRON CORP,0.5367,-,-,-,-,-,-,17.5827,-,-,-,-,-,-,-,-,-,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,0.6349,1.97,3.1655,-,-,-,-,-,-,-,-,-,-,8.47,-,-,-,3.43
LLY,ELI LILLY + CO,1.3847,-,-,-,-,-,-,-,14.6545,-,-,-,-,-,-,-,-,-
AMAT,APPLIED MATERIALS INC,0.4446,1.38,2.2166,-,-,-,-,-,-,-,-,-,-,-,-,6.53,4.99,-
LRCX,LAM RESEARCH CORP,0.5024,1.56,2.5048,-,-,-,-,-,-,-,-,-,-,-,-,5.14,5.85,-
TSM,Taiwan Semiconductor Manufacturing Co L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.67,10.3,1.45
WMT,WALMART INC,0.8601,2.98,-,-,-,-,11.2333,-,-,-,-,-,-,-,-,-,-,-
LIN,LINDE PLC,0.3548,1.1,-,-,-,-,-,-,-,-,13.3187,-,-,-,-,-,-,-
NEE,NEXTERA ENERGY INC,0.3044,-,-,-,-,-,-,-,-,-,-,-,13.5424,-,-,-,-,-
KLAC,KLA CORP,0.3562,1.11,1.776,-,-,-,-,-,-,-,-,-,-,-,-,4.62,5.38,-
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.46,-,-,11.4912,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BA,BOEING CO/THE,0.3212,-,-,-,-,-,-,-,-,3.773,-,-,-,-,8.36,-,-,-
