1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,,
Ticker,EPS LTM,EPS - most recent FY,EPS Est current FY,EPS Est FY+1,EPS Est FY+2,EPS EST NTM,EPS EST NTM+1,EPS EST NTM - 30 days ago,EPS EST NTM - 90 days ago,EPS EST Current Qtr,EPS Est Next Qtr,EPS surprise last qtr,Sales LTM,Sales - most recent FY,Sales Est current FY,Sales Est FY+1,Sales Est FY+2,Sales EST NTM,Sales EST NTM+1,SALES EST NTM - 30 days ago,SALES EST NTM - 90 days ago,SALES EST Current Qtr,SALES EST Next Qtr,SALES surprise last qtr,EBITDA LTM,EBITDA - most recent FY,EBITDA Est current FY,EBITDA Est FY+1,EBITDA Est FY+2,EBITDA EST NTM,EBITDA EST NTM+1,EBITDA EST NTM - 30 days ago,EBITDA EST NTM - 90 days ago,EBITDA EST Current Qtr,EBITDA EST Next Qtr,PRICE,SO,MKT CAP,EV,ND,Gross Profit LTM,EBIT LTM,Stock Option Expense - LTM,Stock price - LTM High,Stock price - LTM LOW,ROIC 1 YR,ROIC  3YR,14 day RSI,SI % of float,SI Days to Cover,Insider % ownership,Insider Purchases,Insider Sales,Accruals abs,acrcrurals %,FCF,Consensus Price Target,Next Earnings Date,Next Earnings Date Time of day,LAST Reported FYE,FYE,LAST Reported FQ,Total assets,1 month volatility,2 month vol,3 month vol,1 yr Beta,3 yr beta,5 yr beta - monthly,5 yr beta - weekly,EV/EBITDA - NTM,EV/Sales - NTM,P/E NTM,3-YR AVG NTM EV/EBITDA,3-YR AVG NTM EV/SALES,3-YR AVG NTM P/E,3-YR MEDIAN NTM EV/EBITDA,3-YR MEDIAN NTM EV/SALES,3-YR MEDIAN NTM P/E,3-YR MIN NTM EV/EBITDA,3-YR MIN NTM EV/SALES,3-YR MIN NTM P/E,3-YR MAX NTM EV/EBITDA,3-YR MAX NTM EV/SALES,3-YR MAX NTM P/E,52 week high,26-YR AVG NTM EV/EBITDA,26-YR AVG NTM EV/SALES,26-YR AVG NTM P/E,26-YR MEDIAN NTM EV/EBITDA,26-YR MEDIAN NTM EV/SALES,26-YR MEDIAN NTM P/E,26-YR MIN NTM EV/EBITDA,26-YR MIN NTM EV/SALES,26-YR MIN NTM P/E,26-YR MAX NTM EV/EBITDA,26-YR MAX NTM EV/SALES,26-YR MAX NTM P/E,,,,
SPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652345,0.65152454,0.7381036,0.9974861,0.99528843,1.0088784,,15.08338989,3.793663662,21.97826821,14.04108981,3.259637981,20.38426446,14.14627011,3.287774981,20.65899257,11.84266503,2.585066173,16.92421373,15.94506606,4.032166911,23.39749959,696.09,10.4254319,2.098563557,16.66533103,10.15182235,1.910723245,16.32626261,5.871206042,1.069943731,9.186930013,15.73900067,3.870111117,24.14466602,,,,
QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7842096,0.8955569,1.0450662,1.2187512,1.2478282,1.1765078,,16.98361341,5.204277088,26.02945532,16.17212779,4.898368443,25.79815414,16.25527361,4.91936148,26.02215732,13.50792631,3.671400454,21.12249366,18.70810156,6.1992064,29.22889375,637.01,12.38288878,3.078959446,22.93881049,12.27806438,2.773339142,21.4781543,6.58479637,1.311892317,11.39633926,19.39289754,6.10273037,71.20072913,,,,
XLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9792516,1.1097146,1.2867987,1.4100989,1.4113427,1.2329382,,17.61244119,6.760271508,24.98762945,18.33074625,6.448847051,26.1737421,18.54544154,6.543991249,26.46431139,14.30417946,4.994658674,20.33104325,21.40234621,7.86516928,30.66954624,152.995,11.1025646,3.421962356,20.46040205,9.284114894,2.741143433,18.43403615,5.315873008,1.298545702,10.21624742,21.03968075,7.727829047,49.3767219,,,,
XLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0040715,0.90544015,0.88226324,0.9276633,0.91234756,0.9444628,,16.19188037,4.185536148,15.77486222,17.98370538,4.405060617,15.16667939,17.91713481,4.470866563,15.51447731,15.19481088,2.413793228,11.02891738,20.60918449,5.078122161,17.72032776,56.515,15.87533419,5.319128706,12.93655133,16.55428432,4.262934409,12.6789214,9.855899282,1.826131614,7.02363699,20.55584034,11.86005334,18.43483412,,,,
XLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6898564,0.671899,0.7394242,0.9235365,0.94042325,1.0312641,,9.289238269,2.936275844,17.13975671,9.090830349,2.738229749,17.41146367,9.082677586,2.738773145,17.42692932,7.90924678,2.257297803,14.51061312,10.39498871,3.192686305,19.88684257,119.55,8.329332083,2.701466362,18.04237389,8.405198336,2.702630951,18.19012566,4.783221904,1.479980094,8.656216593,12.38524957,4.362876196,28.82675498,,,,
XLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1103959,1.0334322,1.1860478,1.0612429,1.1658211,1.246715,,15.95813971,2.800723181,27.24928993,14.13094064,2.353961294,24.09891491,13.86525193,2.32227447,23.55576887,11.86575025,1.82245219,20.22963043,16.95909109,2.994985113,29.39380819,125.01,11.04081931,1.566474132,19.39217826,10.54833249,1.416835387,18.06793094,6.190993306,0.7356265432,11.60525728,18.72332807,2.874682262,40.72695633,,,,
XLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80575037,0.7745607,0.7970174,0.20951465,0.30723637,0.51759344,,12.90364977,1.504885869,19.41865939,13.16002872,1.5060074,19.35684954,13.11383623,1.500317465,19.40615591,12.08595007,1.338966005,17.48499449,14.47147026,1.742519981,21.56797169,84.35,11.37221876,1.484943501,17.77599555,11.63272743,1.440996855,17.94690466,6.901428239,0.7838318967,10.63995536,17.3835931,3.522336365,25.35380488,,,,
XLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4445909,1.3532392,1.2668256,0.6312239,0.60768723,0.61028045,,7.932455839,1.743470099,17.82782887,6.502088108,1.462763378,12.83187152,6.512564916,1.466466302,12.49652139,5.288954352,1.206211536,8.998444985,7.932455839,1.743470099,17.82782887,49.89,6.46843503,1.338569526,14.22909885,6.262226301,1.325578359,13.47498728,2.857011481,0.6491447408,-325.090682,10.87186964,2.158705103,198.9934337,,,,
XLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78239685,0.9237235,0.855838,0.47337908,0.51561415,0.6153071,,14.99282601,2.305201749,19.06376434,14.15414697,2.262635726,17.68337472,13.98760591,2.281193196,17.50757459,12.76505588,2.007280995,15.62170543,15.81242936,2.487512727,19.93375452,160.59,11.06315024,2.054331126,15.48611357,11.38885964,2.169749807,16.06588563,6.315186643,1.184949911,9.020609654,15.81242936,2.786781831,21.24255309,,,,
XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0498024,0.9689217,0.9141763,0.93773955,0.95599645,1.0522745,,16.69716185,3.195771763,25.41143421,14.04364954,2.63434769,21.11498499,13.9702686,2.607537442,21.19214373,11.38811523,2.105155906,16.57275617,16.77754775,3.208356599,25.54221492,167.2,11.14925445,1.910260254,16.85362728,10.69078713,1.828244073,16.22414577,7.303060077,1.080667888,8.002849522,16.77754775,3.208356599,27.35727264,,,,
XLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0509608,0.9964047,1.0138122,0.7619639,0.853044,1.0207497,,10.91764802,2.326926149,19.52730446,10.65947347,2.341976701,18.80402971,10.63395824,2.306030306,19.09669662,9.290523309,1.98098243,15.77052059,11.86154812,2.645041657,21.44428314,49.99,8.80661752,1.800604255,16.14800802,8.716764237,1.657205236,16.19319656,5.249703285,0.8602730095,8.480807882,12.22234403,2.871183726,24.97154004,,,,
XLRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8017828,0.71197045,0.8104712,0.40962392,0.72620904,1.042305,,18.28588431,8.038216526,17.33902243,18.40041149,8.38390817,17.3676484,18.40536635,8.373907539,17.38087504,16.08766057,7.395597646,14.52024301,20.164932,9.257604527,19.66937055,43.8613,19.29282803,9.026091097,18.54310424,18.7657906,8.997786762,18.01373077,15.80491473,7.239141647,13.99130429,24.20792331,11.01262738,24.46832815,,,,
XLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8665541,0.88658595,0.8319617,0.32634497,0.38472742,0.6885531,,11.45626127,4.700640378,17.93075466,11.50785413,4.389024502,17.30254488,11.55859614,4.428357565,17.57040426,10.54525438,3.740276776,14.26482948,12.33420341,5.006627649,19.83435606,46.885,9.230559995,2.940235282,15.31304573,8.635706231,2.528283342,15.21899859,5.776510576,1.045831466,7.952411037,13.24413766,5.099754526,21.9692789,,,,
IGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3186927,1.284267,1.3611248,1.3153858,1.3536402,1.1675842,,19.04550329,7.602113312,24.36242296,21.98835174,8.166665477,32.9121566,21.9797864,8.262000462,32.85669573,17.31716714,5.986345443,23.80248647,27.01741042,10.18026837,40.17866196,117.99,15.52368621,4.822687303,25.87032924,13.71029234,3.87998572,24.77933411,5.733018391,1.632358384,10.61083177,32.89224818,10.96229491,51.30749135,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4480908,1.3900766,1.3301592,1.0590229,0.93374294,0.7917995,,23.12827022,3.66445391,36.91161372,17.52209889,2.526875184,28.16088432,17.08851422,2.4584287,27.52899577,13.9677194,1.874233342,21.60473376,24.02327913,3.806769848,38.58000537,244.7582,11.06060555,1.614960127,18.36651089,9.772011099,1.510100724,16.91366363,4.641993721,0.6207342941,6.92002157,24.02327913,3.806769848,38.58000537,,,,
SOXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.669006,1.8785952,2.0819082,1.7433153,1.806452,1.5261945,,18.25885122,7.793197301,26.36263844,15.7473149,5.929985607,23.54249971,15.62703859,5.813475273,23.51148835,11.02055379,4.065045186,16.39630196,19.73683891,7.880405876,29.35768546,354.6,11.00508111,3.421160793,21.02623458,10.15697543,2.959708219,17.57697221,4.967504595,1.196817503,-667.771227,20.81053171,7.793197301,309.512295,,,,
SMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5839869,1.7467564,1.9040936,1.727286,1.7996029,1.5336947,,18.55017739,8.933937852,26.64970269,16.65570208,7.150394695,25.27242664,16.70441105,7.167315201,25.43338351,11.75130418,5.048107127,17.51264556,21.81047836,9.725378012,33.21551836,408.73,11.49219266,4.621797491,18.3204965,10.14617979,4.076408744,15.9752013,6.117834862,2.026152788,11.15840006,21.18896368,9.437994829,32.27558426,,,,
ARKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.705296,1.8426137,2.1829689,1.9662408,2.181851,1.9532009,,330.2523534,6.56457,-165.2601642,139.8817161,4.635389808,-59.18491393,-49.37829137,4.192140725,-50.79579411,-7879.40452,2.723083507,-165.2601642,77069.4184,7.545127204,-22.71447037,92.65,-127.9396716,4.965973065,-38.77010095,-31.05113998,4.048548061,-46.48097215,-66422.90875,2.733826358,-5872.585094,17854.32473,11.84900899,1508.786826,,,,
DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75961953,0.70710784,0.73413444,0.8606689,0.81840724,0.8886415,,15.70551822,4.135723302,20.71974792,14.05394862,3.392735033,18.4989383,13.69044415,3.486685907,18.33026297,11.93526854,2.481681309,15.59386205,16.25660909,4.271761443,22.10059973,496.34,10.49616764,2.034720706,15.69343802,10.64819154,1.811135747,15.59386205,5.572161816,0.8681262487,9.993671213,15.93904769,4.168182417,21.80273382,,,,
SQQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4201875,2.7135632,3.1547353,-3.7366655,-3.722161,-3.4018457,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,
QID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6457161,1.8345666,2.112265,-2.4744134,-2.4835606,-2.2972996,,,,,,,,,,,,,,,,,50.45,,,,,,,,,,,,,,,,
PSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8537844,0.9263217,1.0637784,-1.2384403,-1.2405449,-1.1554136,,,,,,,,,,,,,,,,,46.98,,,,,,,,,,,,,,,,
SPXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0459769,2.0138998,2.2345471,-3.0794892,-3.0034454,-2.9076583,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,
SDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3840864,1.3483427,1.4968858,-2.0431478,-2.000439,-1.9521166,,,,,,,,,,,,,,,,,141.55,,,,,,,,,,,,,,,,
SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74416035,0.6975432,0.76347274,-1.0209273,-0.99942064,-0.9856479,,,,,,,,,,,,,,,,,51.3706,,,,,,,,,,,,,,,,
SDOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3372433,2.154218,2.2246537,-2.6619658,-2.4830487,-2.53617,,,,,,,,,,,,,,,,,75.95,,,,,,,,,,,,,,,,
DXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.576176,1.4637007,1.5045128,-1.7641691,-1.6471844,-1.7131848,,,,,,,,,,,,,,,,,35.79,,,,,,,,,,,,,,,,
DOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.821282,0.7384424,0.7544239,-0.8798681,-0.82095647,-0.86224365,,,,,,,,,,,,,,,,,30.805,,,,,,,,,,,,,,,,
SOXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.786705,5.544899,6.1600356,-5.6392894,-5.5398088,-4.401695,,,,,,,,,,,,,,,,,53.43,,,,,,,,,,,,,,,,
SARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7211444,1.8521258,2.1974118,-2.8106682,-2.912738,-2.0700288,,,,,,,,,,,,,,,,,74.56,,,,,,,,,,,,,,,,
SBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7597227,5.5674477,5.701456,-1.1091654,-1.4132272,-2.89981,,,,,,,,,,,,,,,,,76.55,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,4.5695,4.5719,5.9341316,6.537133,7.266101,6.0729046,,6.021427,6.006669,1.3712229,1.3919019,0.35913613,6948,6948,7358.516,7816.2197,8322.011,7463.8506,7932.621,7423.589,7282.5,1807.7924,1766.2017,0.36450645,1834,1834,2155.9348,2360.4453,2558.8372,2203.0002,2406.1028,2161.6587,2158.918,502.87115,511.10263,135.05,285,38286.54,40243.25,1754,3648,1547,101.91,160.27,96.43,13.4879147,14.44466959,45.974457,1.363137568,1.9952323,0.004535,0,1,-256,-0.0273398579,1152,170.1176453,2026-03-03,Unspecified,10/31/2025,10/2025,10/31/2025,12774,0.29790071,0.28268051,0.25678366,1.0326974,1.0531946,1.2902933,1.0684469,18.267473,5.3917546,22.238123,18.86403688,5.657054298,22.65377239,19.266267,5.7855042,23.247472,14.5796995,4.399965,17.1393,22.767933,6.9680457,27.366465,160.27,15.49066507,3.26026516,36.21295976,14.274004,2.61963225,21.500223,1.1977658,0.637922,8.722224,70.02677,8.452854,7124.673,,,,
AA,4.4773,4.42,4.6418877,5.2497096,6.3179846,4.680189,,4.1051273,3.1451416,1.1367077,1.1470523,36.103153,12831,12831,13659.935,13776.678,14399.251,13667.291,13815.908,13567.294,12784.044,3287.441,3352.787,5.5033865,1864,1864,2536.382,2774.7424,3327.2478,2551.402,2809.5579,2165.8845,1939.3351,578.85565,609.60754,62.21,261.202037,16110.149,17142.37872,817,1567,1241,#N/A,66.95,21.53,14.25004567,0.8204484365,61.281338,2.944087649,1.4644456,0.004259,1,1,-15,-0.001096426121,567,60.00704575,2026-04-22,Unspecified,12/31/2025,12/2025,12/31/2025,16212,0.5282361,0.50386753,0.5713868,1.688056,1.939624,1.9472466,1.79413,6.718807,1.2542632,13.292197,5.879532689,0.782225009,42.08415629,5.69810335,0.74425478,16.4901035,3.3664758,0.5755362,6.4671836,8.6553545,1.3141536,5638.2583,66.95,6.595205552,1.048169654,9.755753739,6.6575887,1.0027895,4.012795,1.2959576,0.17529182,1.3049843,19.448826,2.0072215,653.96027,,,,
