1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Ticker,EPS LTM,EPS - most recent FY,EPS Est current FY,EPS Est FY+1,EPS Est FY+2,EPS EST NTM,EPS EST NTM+1,EPS EST NTM - 30 days ago,EPS EST NTM - 90 days ago,EPS EST Current Qtr,EPS Est Next Qtr,EPS surprise last qtr,Sales LTM,Sales - most recent FY,Sales Est current FY,Sales Est FY+1,Sales Est FY+2,Sales EST NTM,Sales EST NTM+1,SALES EST NTM - 30 days ago,SALES EST NTM - 90 days ago,SALES EST Current Qtr,SALES EST Next Qtr,SALES surprise last qtr,EBITDA LTM,EBITDA - most recent FY,EBITDA Est current FY,EBITDA Est FY+1,EBITDA Est FY+2,EBITDA EST NTM,EBITDA EST NTM+1,EBITDA EST NTM - 30 days ago,EBITDA EST NTM - 90 days ago,EBITDA EST Current Qtr,EBITDA EST Next Qtr,PRICE,SO,MKT CAP,EV,ND,Gross Profit LTM,EBIT LTM,Stock Option Expense - LTM,Stock price - LTM High,Stock price - LTM LOW,ROIC 1 YR,ROIC  3YR,14 day RSI,SI % of float,SI Days to Cover,Insider % ownership,Insider Purchases,Insider Sales,,,,Accruals abs,acrcrurals %,FCF,Consensus Price Target,Next Earnings Date,Next Earnings Date Time of day,LAST Reported FYE,FYE,LAST Reported FQ,Total assets,1 month volatility,2 month vol,3 month vol,1 yr Beta,3 yr beta,5 yr beta - monthly,5 yr beta - weekly,EV/EBITDA - NTM,EV/Sales - NTM,P/E NTM,3-YR AVG NTM EV/EBITDA,3-YR AVG NTM EV/SALES,3-YR AVG NTM P/E,3-YR MEDIAN NTM EV/EBITDA,3-YR MEDIAN NTM EV/SALES,3-YR MEDIAN NTM P/E,3-YR MIN NTM EV/EBITDA,3-YR MIN NTM EV/SALES,3-YR MIN NTM P/E,3-YR MAX NTM EV/EBITDA,3-YR MAX NTM EV/SALES,3-YR MAX NTM P/E,52 week high,26-YR AVG NTM EV/EBITDA,26-YR AVG NTM EV/SALES,26-YR AVG NTM P/E,26-YR MEDIAN NTM EV/EBITDA,26-YR MEDIAN NTM EV/SALES,26-YR MEDIAN NTM P/E,26-YR MIN NTM EV/EBITDA,26-YR MIN NTM EV/SALES,26-YR MIN NTM P/E,26-YR MAX NTM EV/EBITDA,26-YR MAX NTM EV/SALES,26-YR MAX NTM P/E
SPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,0.140,0.119,0.999,0.997,1.008,1.002,15.4,3.8,22.4,13.89756086,3.208906815,20.161378,14.00675316,3.244405504,20.45584553,11.47345715,2.544487895,16.40442915,15.94832776,3.909564152,23.12913414,689.7,10.40053855,2.089793107,16.63914873,10.1427156,1.903906767,16.31167117,5.871206042,1.069943731,9.186930013,15.73925356,3.869327215,24.14466602
QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180,0.196,0.167,1.207,1.246,1.177,1.229,17.8,6,27.7,15.9980134,4.80593176,25.59932649,16.15672546,4.763674432,25.94668296,12.33064545,3.359684219,20.39231805,18.71496346,6.199701819,29.23993239,637.01,12.35734187,3.064594348,22.91998109,12.25502216,2.770657356,21.4494424,6.58479637,1.311892317,11.39633926,19.39289754,6.101433291,71.20072913
XLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,0.232,0.205,1.392,1.402,1.235,1.321,19.1,7,27.4,18.17887989,6.373019673,25.95089768,18.53075162,6.46429312,26.43722449,13.89864469,4.863547575,19.62003313,21.40234621,7.86516928,30.66954624,152.995,11.06467287,3.403940387,20.43260216,9.264394273,2.729257992,18.41553346,5.315873008,1.30,10.22,21.03968076,7.727829047,49.3767219
XLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.153,0.135,0.960,0.921,0.952,0.945,16.4,4.3,16,18.03825279,4.337754335,14.99388086,17.98883496,4.470866563,15.34852216,15.19481088,2.413793228,11.02891738,20.6050782,5.078122161,17.72032776,54.495,15.86867641,5.324653595,12.9188578,16.55,4.253506164,12.6752146,9.855899282,1.83,7.02,20.55484788,11.86005334,18.43483412
XLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.137,0.129,0.929,0.963,1.032,0.974,9.5,2.9,17.7,9.027583245,2.714364852,17.28213105,9.051486673,2.727048689,17.34781208,7.737791432,2.257297803,14.00081757,10.39498871,3.192686305,19.88684266,119.55,8.323823841,2.700376408,18.02862,8.39,2.69789195,18.20967472,4.783221904,1.48,8.66,12.38524957,4.362876196,28.82675498
XLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,0.209,0.190,1.065,1.182,1.244,1.238,15.7,2.7,26.6,13.96445591,2.31146393,23.83856642,13.68625413,2.293246958,23.44057645,11.45517021,1.708907231,20.12469378,16.43488056,2.825404731,27.76746305,121.7,11.01426065,1.560026489,19.35084669,10.53,1.401779611,18.05300647,6.190993306,0.74,11.61,18.72332807,2.821333301,40.72695633
XLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.125,0.121,0.255,0.318,0.514,0.465,12.5,1.5,18.7,13.24138873,1.51917698,19.43933863,13.15759311,1.512619206,19.47420419,12.08595007,1.338966005,17.48499449,14.76463613,1.806450595,21.56797169,84.35,11.36575499,1.485047047,17.77042023,11.59,1.439418408,17.90846129,6.901428239,0.78,10.64,17.3835931,3.522336365,25.35380488
XLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173,0.172,0.170,0.694,0.641,0.607,0.662,7.3,1.6,15.8,6.430488173,1.450059428,12.55788693,6.433655665,1.455408325,12.28787607,5.288954352,1.207247498,8.998444985,7.350852535,1.634796342,15.75894163,47.41,6.463279362,1.336898397,14.21858277,6.25,1.323895219,13.45806706,2.857011481,0.65,-325.09,10.87186964,2.158705103,198.9934337
XLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174,0.138,0.152,0.466,0.511,0.616,0.588,14.6,2.3,18.2,14.10164385,2.268595054,17.63501956,13.90151859,2.285959508,17.45101233,12.76505588,2.007268205,15.62157638,15.81242936,2.487512727,19.93375452,158.95,11.0424156,2.053056364,15.46883197,11.36979113,2.166919072,16.06015507,6.315186643,1.184949911,9.020609654,15.81242936,2.786781831,21.24255309
